"002","004","005","011","012","013","015","016","018","021","022","024","025","026","027","028","102","103","104","111","112","113","114","115","116","201","204","203","301","302","303","304","305","311","401","402","404","405","411","412","413","Destination"
1,0.666666666666667,0.25,0.25,0.25,0.333333333333333,0.4,0.666666666666667,0.333333333333333,0.142857142857143,0.25,0.25,0.4,0.285714285714286,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"002"
0.666666666666667,1,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.5,1,0.4,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"004"
0.25,0.333333333333333,1,0.333333333333333,0.333333333333333,0.166666666666667,0.2,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.2,0.142857142857143,0.2,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"005"
0.25,0.333333333333333,0.333333333333333,1,0.333333333333333,0.166666666666667,0.2,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.2,0.142857142857143,0.2,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"011"
0.25,0.333333333333333,0.333333333333333,0.333333333333333,1,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.166666666666667,1,0.333333333333333,0.5,0.142857142857143,0.5,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"012"
0.333333333333333,0.4,0.166666666666667,0.166666666666667,0.166666666666667,1,0.5,0.4,0.666666666666667,0.111111111111111,0.166666666666667,0.166666666666667,0.285714285714286,0.222222222222222,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"013"
0.4,0.5,0.2,0.2,0.5,0.5,1,0.5,0.5,0.125,0.5,0.2,0.6,0.25,0.333333333333333,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"015"
0.666666666666667,1,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.5,1,0.4,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"016"
0.333333333333333,0.4,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.4,1,0.111111111111111,0.166666666666667,0.166666666666667,0.285714285714286,0.222222222222222,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"018"
0.142857142857143,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.111111111111111,0.125,0.166666666666667,0.111111111111111,1,0.166666666666667,0.166666666666667,0.125,0.375,0.125,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"021"
0.25,0.333333333333333,0.333333333333333,0.333333333333333,1,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.166666666666667,1,0.333333333333333,0.5,0.142857142857143,0.5,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"022"
0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.2,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,1,0.2,0.142857142857143,0.5,0.166666666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"024"
0.4,0.5,0.2,0.2,0.5,0.285714285714286,0.6,0.5,0.285714285714286,0.125,0.5,0.2,1,0.25,0.333333333333333,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"025"
0.285714285714286,0.333333333333333,0.142857142857143,0.142857142857143,0.142857142857143,0.222222222222222,0.25,0.333333333333333,0.222222222222222,0.375,0.142857142857143,0.142857142857143,0.25,1,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,"026"
0.166666666666667,0.2,0.2,0.2,0.5,0.125,0.333333333333333,0.2,0.125,0.125,0.5,0.5,0.333333333333333,0.111111111111111,1,0.285714285714286,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"027"
0.333333333333333,0.4,0.166666666666667,0.166666666666667,0.166666666666667,0.25,0.285714285714286,0.4,0.25,0.111111111111111,0.166666666666667,0.166666666666667,0.285714285714286,0.222222222222222,0.285714285714286,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"028"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.2,0.125,0.125,0.166666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.2,0.125,0.125,0.166666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"104"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0.125,0.125,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"111"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.125,1,0,0.25,0.166666666666667,0.166666666666667,0,0,0,0.0909090909090909,0.1,0,0,0,0.1,0,0,0,0,0,0,0,"112"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"113"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.25,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"114"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"115"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.166666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"116"
0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"204"
0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"203"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,1,0.833333333333333,0.333333333333333,0.571428571428571,0.571428571428571,0.833333333333333,0,0,0,0,0,0,0,"301"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.833333333333333,1,0.4,0.428571428571429,0.428571428571429,0.666666666666667,0,0,0,0,0,0,0,"302"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.4,1,0.4,0.4,0.4,0,0,0,0,0,0,0,"303"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.428571428571429,0.4,1,1,0.666666666666667,0,0,0,0,0,0,0,"304"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.428571428571429,0.4,1,1,0.666666666666667,0,0,0,0,0,0,0,"305"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.833333333333333,0.666666666666667,0.4,0.666666666666667,0.666666666666667,1,0,0,0,0,0,0,0,"311"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.333333333333333,0,0,"401"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.25,0.666666666666667,0,0,"402"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333,0.5,1,"404"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,1,0.5,0.25,0.333333333333333,"405"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.5,1,0.25,0.333333333333333,"411"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.25,1,0.5,"412"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333,0.5,1,"413"
