"Market vendor";"Intermediary 1";"Intermediary 2";"Intermediary 3";"Intermediary 4";"Transfer between markets";"FD present";"No of intermediary in chain";"District_Farm";"Sub-District_Farm";"Upazila_Farm";"Union_Farm";"Village_Farm";"City_market";"market_name";"market_id";"chick_sold_max";"chick_sold_min";"Market_city";"lon_upa";"lat_upa"
"LT-B-ST-001-001";"LT-B-ST-030-103";"LT-B-MT-100";"LT-B-FD-030";NA;"Yes";"Yes";3;"Gazipur";"Gazipur S.";8889;"Joydebpur";NA;"Dhaka";"Amtoli market";1;60;50;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-001-001";"LT-B-ST-030-103";"LT-B-MT-100";"LT-B-FD-030";NA;"Yes";"Yes";3;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Amtoli market";1;60;50;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-002-003";"LT-B-ST-002-101";"LT-B-ST-026-201";"LT-B-MT-099";"LT-B-FD-013";"No";"Yes";4;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Sukrabad bazar";2;60;30;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-002-005";"LT-B-ST-026-106";NA;NA;NA;"Yes";"No";1;"Naray Angonj";"Sonargaon";8911;NA;NA;"Dhaka";"Sukrabad bazar";2;300;60;"Dhaka";90.59783629615;23.6789507322036
"LT-B-ST-002-005";"LT-B-ST-026-105";"LT-B-MT-069";"LT-B-FD-014";NA;"Yes";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Sukrabad bazar";2;300;60;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-005-009";"LT-B-ST-026-103";NA;NA;NA;"Yes";"No";1;"Munshiganj";"Sreenagar";8905;NA;NA;"Dhaka";"Zigatola market";5;55;40;"Dhaka";90.2690729680533;23.5452068228698
"LT-B-ST-011-001";NA;NA;NA;NA;NA;"No";0;"Gazipur";"Gazipur S.";8889;"Tongi bazar";"Tongi bazar";"Dhaka";"Ajampur Kacha bazar";11;20;15;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-011-002";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Bhaluka";8969;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;90;60;"Dhaka";90.3550394388578;24.3812908164823
"LT-B-ST-011-002";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Trishal";8980;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;90;60;"Dhaka";90.4135603700895;24.5629969103271
"LT-B-ST-011-005";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Bhaluka";8969;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;40;30;"Dhaka";90.3550394388578;24.3812908164823
"LT-B-ST-011-005";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Trishal";8980;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;40;30;"Dhaka";90.4135603700895;24.5629969103271
"LT-B-ST-011-006";"LT-B-ST-011-101";"LT-B-MT-065";"LT-B-FD-022";NA;"No";"Yes";3;"Gazipur";"Gazipur S.";8889;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;60;30;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-012-002";"LT-B-ST-024-101";"LT-B-MT-059";"LT-B-FD-016";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Mirpur-11";12;40;20;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-012-002";"LT-B-ST-024-101";"LT-B-MT-060";"LT-B-FD-017";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Mirpur-11";12;40;20;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-012-008";"LT-B-ST-024-101";"LT-B-MT-059";"LT-B-FD-016";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Mirpur-11";12;50;15;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-012-008";"LT-B-ST-024-101";"LT-B-MT-060";"LT-B-FD-017";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Mirpur-11";12;50;15;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-013-001";"LT-B-ST-024-103";"LT-B-MT-061";"LT-B-FD-023";NA;"Yes";"Yes";3;"Gazipur";"Gazipur S.";8889;"Sadar";NA;"Dhaka";"Mohammadpur Krishi market";13;35;25;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-013-001";"LT-B-ST-024-103";"LT-B-MT-061";"LT-B-FD-023";NA;"Yes";"Yes";3;"Gazipur";"Kapasia";8892;NA;NA;"Dhaka";"Mohammadpur Krishi market";13;35;25;"Dhaka";90.600580774225;24.1481294794004
"LT-B-ST-013-004";NA;NA;NA;NA;NA;"No";0;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Mohammadpur Krishi market";13;500;300;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-013-004";NA;NA;NA;NA;NA;"No";0;"Bogra";"Kahaloo";9066;NA;NA;"Dhaka";"Mohammadpur Krishi market";13;500;300;"Dhaka";89.2518816652273;24.8357853881372
"LT-B-ST-013-005";"LT-B-MT-007";NA;NA;NA;NA;"No";1;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Mohammadpur Krishi market";13;140;60;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-014-010";"LT-B-ST-026-111";"LT-B-MT-102";"LT-B-FD-033";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Mowlovi bazar";14;30;15;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-014-010";"LT-B-ST-026-111";"LT-B-MT-102";"LT-B-FD-033";NA;"Yes";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Mowlovi bazar";14;30;15;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-014-010";"LT-B-ST-026-111";"LT-B-MT-102";"LT-B-FD-033";NA;"Yes";"Yes";3;"Narshingdi";"Raipur";8864;NA;NA;"Dhaka";"Mowlovi bazar";14;30;15;"Dhaka";90.7316182821192;22.9999242919761
"LT-B-ST-015-001";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Dhupkhola bazar";15;50;30;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-015-001";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Palash";8915;"Kamartek";NA;"Dhaka";"Dhupkhola bazar";15;50;30;"Dhaka";90.6502946410093;23.9574350936768
"LT-B-ST-015-001";"LT-B-ST-032-102";"LT-B-FD-005";NA;NA;"Yes";"Yes";2;"Kishoreganj";"Bajitpur";8957;"Bajra";NA;"Dhaka";"Dhupkhola bazar";15;50;30;"Dhaka";90.9540999694467;24.2230009124824
"LT-B-ST-015-001";"LT-B-ST-032-102";"LT-B-FD-005";NA;NA;"Yes";"Yes";2;"Kishoreganj";"Kishoreganj S.";8963;NA;NA;"Dhaka";"Dhupkhola bazar";15;50;30;"Dhaka";90.7844134723316;24.42080960368
"LT-B-ST-015-002";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Dhupkhola bazar";15;100;60;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-015-002";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Palash";8915;"Kamartek";NA;"Dhaka";"Dhupkhola bazar";15;100;60;"Dhaka";90.6502946410093;23.9574350936768
"LT-B-ST-015-002";"LT-B-ST-032-102";"LT-B-FD-005";NA;NA;"Yes";"Yes";2;"Kishoreganj";"Bajitpur";8957;"Bajra";NA;"Dhaka";"Dhupkhola bazar";15;100;60;"Dhaka";90.9540999694467;24.2230009124824
"LT-B-ST-015-002";"LT-B-ST-032-102";"LT-B-FD-005";NA;NA;"Yes";"Yes";2;"Kishoreganj";"Kishoreganj S.";8963;NA;NA;"Dhaka";"Dhupkhola bazar";15;100;60;"Dhaka";90.7844134723316;24.42080960368
"LT-B-ST-015-004";"LT-B-ST-026-111";"LT-B-MT-102";"LT-B-FD-033";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Dhupkhola bazar";15;60;30;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-015-004";"LT-B-ST-026-111";"LT-B-MT-102";"LT-B-FD-033";NA;"Yes";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Dhupkhola bazar";15;60;30;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-015-004";"LT-B-ST-026-111";"LT-B-MT-102";"LT-B-FD-033";NA;"Yes";"Yes";3;"Narshingdi";"Raipur";8864;NA;NA;"Dhaka";"Dhupkhola bazar";15;60;30;"Dhaka";90.7316182821192;22.9999242919761
"LT-B-ST-015-005";"LT-B-ST-032-102";"LT-B-FD-005";NA;NA;"Yes";"Yes";2;"Kishoreganj";"Bajitpur";8957;"Bajra";NA;"Dhaka";"Dhupkhola bazar";15;80;20;"Dhaka";90.9540999694467;24.2230009124824
"LT-B-ST-015-005";"LT-B-ST-032-102";"LT-B-FD-005";NA;NA;"Yes";"Yes";2;"Kishoreganj";"Kishoreganj S.";8963;NA;NA;"Dhaka";"Dhupkhola bazar";15;80;20;"Dhaka";90.7844134723316;24.42080960368
"LT-B-ST-015-005";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Dhupkhola bazar";15;80;20;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-015-005";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Dhupkhola bazar";15;80;20;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-015-005";"LT-B-ST-032-102";"LT-B-FD-004";NA;NA;"Yes";"Yes";2;"Narshingdi";"Palash";8915;"Kamartek";NA;"Dhaka";"Dhupkhola bazar";15;80;20;"Dhaka";90.6502946410093;23.9574350936768
"LT-B-ST-016-003";"LT-B-ST-016-101";"LT-B-FD-003";NA;NA;"No";"Yes";2;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Jurain railgate bazar";16;60;50;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-016-003";"LT-B-ST-016-101";"LT-B-FD-003";NA;NA;"No";"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Jurain railgate bazar";16;60;50;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-016-003";"LT-B-ST-016-101";"LT-B-FD-003";NA;NA;"No";"Yes";2;"Narshingdi";"Raipur";8864;NA;NA;"Dhaka";"Jurain railgate bazar";16;60;50;"Dhaka";90.7316182821192;22.9999242919761
"LT-B-ST-016-003";"LT-B-ST-016-101";"LT-B-MT-067";"LT-B-FD-024";NA;"No";"Yes";3;"Narshingdi";"Narsingdi S.";8914;"Sadar";NA;"Dhaka";"Jurain railgate bazar";16;60;50;"Dhaka";90.7093171878771;23.8713636948058
"LT-B-ST-016-003";"LT-B-ST-016-101";"LT-B-MT-067";"LT-B-FD-024";NA;"No";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Jurain railgate bazar";16;60;50;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-016-003";"LT-B-ST-016-101";"LT-B-MT-067";"LT-B-FD-024";NA;"No";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Jurain railgate bazar";16;60;50;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-016-004";"LT-B-ST-016-102";"LT-B-MT-068";"LT-B-FD-025";NA;"No";"Yes";3;"Gaziur";"Sreepur";8893;"Sripur";NA;"Dhaka";"Jurain railgate bazar";16;80;30;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-016-005";"LT-B-ST-016-102";"LT-B-MT-068";"LT-B-FD-025";NA;"No";"Yes";3;"Gaziur";"Sreepur";8893;"Sripur";NA;"Dhaka";"Jurain railgate bazar";16;60;20;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-016-007";"LT-B-ST-016-101";"LT-B-FD-003";NA;NA;"No";"Yes";2;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Jurain railgate bazar";16;110;20;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-016-007";"LT-B-ST-016-101";"LT-B-FD-003";NA;NA;"No";"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Jurain railgate bazar";16;110;20;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-016-007";"LT-B-ST-016-101";"LT-B-FD-003";NA;NA;"No";"Yes";2;"Narshingdi";"Raipur";8864;NA;NA;"Dhaka";"Jurain railgate bazar";16;110;20;"Dhaka";90.7316182821192;22.9999242919761
"LT-B-ST-016-007";"LT-B-ST-016-101";"LT-B-MT-067";"LT-B-FD-024";NA;"No";"Yes";3;"Narshingdi";"Narsingdi S.";8914;"Sadar";NA;"Dhaka";"Jurain railgate bazar";16;110;20;"Dhaka";90.7093171878771;23.8713636948058
"LT-B-ST-016-007";"LT-B-ST-016-101";"LT-B-MT-067";"LT-B-FD-024";NA;"No";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Jurain railgate bazar";16;110;20;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-016-007";"LT-B-ST-016-101";"LT-B-MT-067";"LT-B-FD-024";NA;"No";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Jurain railgate bazar";16;110;20;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-016-008";"LT-B-ST-016-102";"LT-B-MT-068";"LT-B-FD-025";NA;"No";"Yes";3;"Gaziur";"Sreepur";8893;"Sripur";NA;"Dhaka";"Jurain railgate bazar";16;60;20;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-017-002";"LT-B-MT-009";"LT-B-FD-006";NA;NA;NA;"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Khilgaon bazar";17;100;20;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-017-003";"LT-B-MT-009";"LT-B-FD-006";NA;NA;NA;"Yes";2;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Khilgaon bazar";17;80;30;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-017-005";"LT-B-ST-026-115";NA;NA;NA;"Yes";"No";1;"Gazipur";"Gazipur S.";8889;"Konabari";NA;"Dhaka";"Khilgaon bazar";17;250;10;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-017-005";"LT-B-ST-026-115";NA;NA;NA;"Yes";"No";1;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Khilgaon bazar";17;250;10;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-017-008";"LT-B-ST-026-114";NA;NA;NA;"Yes";"No";1;"Kishoreganj";"Katiadi";8962;NA;NA;"Dhaka";"Khilgaon bazar";17;40;20;"Dhaka";90.8257120272405;24.290660702595
"LT-B-ST-017-008";"LT-B-ST-026-114";NA;NA;NA;"Yes";"No";1;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Khilgaon bazar";17;40;20;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-018-011";"LT-B-MT-002";"LT-B-FD-029";NA;NA;NA;"Yes";2;"Gazipur";"Gazipur S.";8889;"Bason";NA;"Dhaka";"Rojonigandha supermarket";18;200;100;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-018-011";"LT-B-MT-002";"LT-B-FD-029";NA;NA;NA;"Yes";2;"Gazipur";"Kapasia";8892;NA;NA;"Dhaka";"Rojonigandha supermarket";18;200;100;"Dhaka";90.600580774225;24.1481294794004
"LT-B-ST-018-011";"LT-B-MT-002";"LT-B-FD-029";NA;NA;NA;"Yes";2;"Gazipur";"Sreepur";8893;NA;NA;"Dhaka";"Rojonigandha supermarket";18;200;100;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-018-011";"LT-B-MT-002";"LT-B-FD-029";NA;NA;NA;"Yes";2;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Rojonigandha supermarket";18;200;100;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-022-001";"LT-B-MT-010";"LT-B-FD-007";NA;NA;NA;"Yes";2;"Mymensingh";"Muktagachha";8975;NA;NA;"Dhaka";"Karwan bazar";22;4000;500;"Dhaka";90.2109617453377;24.7444934397423
"LT-B-ST-022-001";"LT-B-MT-010";"LT-B-FD-007";NA;NA;NA;"Yes";2;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Karwan bazar";22;4000;500;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-022-005";"LT-B-ST-022-102";"LT-B-MT-062";"LT-B-FD-028";NA;"No";"Yes";3;"Gazipur";"Gazipur S.";8889;"Joydebpur";NA;"Dhaka";"Karwan bazar";22;60;50;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-022-005";"LT-B-ST-022-102";"LT-B-MT-062";"LT-B-FD-028";NA;"No";"Yes";3;"Gazipur";"Kapasia";8892;NA;NA;"Dhaka";"Karwan bazar";22;60;50;"Dhaka";90.600580774225;24.1481294794004
"LT-B-ST-022-006";"LT-B-ST-022-101";"LT-B-MT-062";"LT-B-FD-028";NA;"No";"Yes";3;"Gazipur";"Gazipur S.";8889;"Joydebpur";NA;"Dhaka";"Karwan bazar";22;200;120;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-022-006";"LT-B-ST-022-101";"LT-B-MT-062";"LT-B-FD-028";NA;"No";"Yes";3;"Gazipur";"Kapasia";8892;NA;NA;"Dhaka";"Karwan bazar";22;200;120;"Dhaka";90.600580774225;24.1481294794004
"LT-B-ST-024-003";"LT-B-MT-005";"LT-B-FD-031";NA;NA;NA;"Yes";2;"Gazipur";"Gazipur S.";8889;"Dadar";"Sadar";"Dhaka";"Townhall bazar";24;150;80;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-024-003";"LT-B-MT-005";"LT-B-FD-031";NA;NA;NA;"Yes";2;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Townhall bazar";24;150;80;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-024-003";"LT-B-MT-005";"LT-B-FD-031";NA;NA;NA;"Yes";2;"Gazipur";"Kapasia";8892;NA;NA;"Dhaka";"Townhall bazar";24;150;80;"Dhaka";90.600580774225;24.1481294794004
"LT-B-ST-024-004";"LT-B-MT-006";"LT-B-FD-032";NA;NA;NA;"Yes";2;"Gazipur";"Sreepur";8893;"Bason";NA;"Dhaka";"Townhall bazar";24;200;180;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-024-008";"LT-B-MT-005";"LT-B-FD-031";NA;NA;NA;"Yes";2;"Gazipur";"Gazipur S.";8889;"Dadar";"Sadar";"Dhaka";"Townhall bazar";24;300;150;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-024-008";"LT-B-MT-005";"LT-B-FD-031";NA;NA;NA;"Yes";2;"Gazipor";"Sreepur";8893;"Maona";NA;"Dhaka";"Townhall bazar";24;300;150;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-024-008";"LT-B-MT-005";"LT-B-FD-031";NA;NA;NA;"Yes";2;"Gazipur";"Kapasia";8892;NA;NA;"Dhaka";"Townhall bazar";24;300;150;"Dhaka";90.600580774225;24.1481294794004
"LT-B-ST-025-004";"LT-B-ST-026-108";"LT-B-MT-070";"LT-B-FD-026";NA;"Yes";"Yes";3;"Narshingdi";"Shibpur";8917;NA;NA;"Dhaka";"Fakirapul market";25;80;50;"Dhaka";90.7482839958415;24.0252118181757
"LT-B-ST-025-004";"LT-B-ST-026-108";"LT-B-MT-070";"LT-B-FD-026";NA;"Yes";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Fakirapul market";25;80;50;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-027-001";"LT-B-ST-026-110";"LT-B-MT-101";"LT-B-FD-013";NA;"Yes";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"New market";27;150;60;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-101-002";"LT-B-MT-101";"LT-B-FD-101";NA;NA;NA;"Yes";2;"Feni";"Chhagalnaiya";8858;"Chhagalnaiya pouroshuva";"karaiyar bazar";"Chattogram";"Artilary bazar";101;NA;NA;"Chattogram";91.4833748043248;23.0700497187398
"LT-B-ST-101-002";"LT-B-MT-101";"LT-B-FD-101";NA;NA;NA;"Yes";2;"Feni";"Chhagalnaiya";8858;"Mahamaya";"Banshpara";"Chattogram";"Artilary bazar";101;NA;NA;"Chattogram";91.4833748043248;23.0700497187398
"LT-B-ST-102-004";"LT-B-MT-103";"LT-B-FD-102";NA;NA;NA;"Yes";2;"Chittagong";"Sitakunda";8816;"Barabkunda";"Notunpara,surma dighi";"Chattogram";"Bakolia bazar";102;NA;NA;"Chattogram";91.6987395235161;22.5418264081971
"LT-B-ST-102-004";"LT-B-MT-103";"LT-B-FD-102";NA;NA;NA;"Yes";2;"Chittagong";"Sitakunda";8816;"Sonaichari";"Bokula bazar";"Chattogram";"Bakolia bazar";102;NA;NA;"Chattogram";91.6987395235161;22.5418264081971
"LT-B-ST-103-004";"LT-B-MT-110";"LT-B-FD-103";NA;NA;NA;"Yes";2;"Chittagong";"Rangunia";8812;"Pomra";"Shah nagar,Kotib para";"Chattogram";"Chowdhury hat";103;NA;NA;"Chattogram";92.0683211433533;22.4752802902374
"LT-B-ST-103-004";"LT-B-MT-110";"LT-B-FD-103";NA;NA;NA;"Yes";2;"Chittagong";"Rangunia";8812;"Sorofbhata";"sorofbhata";"Chattogram";"Chowdhury hat";103;NA;NA;"Chattogram";92.0683211433533;22.4752802902374
"LT-B-ST-103-004";"LT-B-MT-110";"LT-B-FD-103";NA;NA;NA;"Yes";2;"Chittagong";"Rangunia";8812;"Betagi";"Bania khola";"Chattogram";"Chowdhury hat";103;NA;NA;"Chattogram";92.0683211433533;22.4752802902374
"LT-B-ST-104-001";"LT-B-MT-113";"LT-B-FD-106";NA;NA;NA;"Yes";2;"Chittagong";"Patiya";8811;"Kelishohor";"Dighirpar";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.960803009918;22.3175479630335
"LT-B-ST-104-001";"LT-B-MT-113";"LT-B-FD-106";NA;NA;NA;"Yes";2;"Chittagong";"Patiya";8811;"Borolia";"West barikara";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.960803009918;22.3175479630335
"LT-B-ST-104-002";"LT-B-MT-112";"LT-B-FD-105";NA;NA;NA;"Yes";2;"Chittagong";"Sitakunda";8816;"Fouzdarhat";"Jolil";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.6987395235161;22.5418264081971
"LT-B-ST-104-002";"LT-B-MT-112";"LT-B-FD-105";NA;NA;NA;"Yes";2;"Chittagong";"Sitakunda";8816;"Muradpur";"Golabaria";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.6987395235161;22.5418264081971
"LT-B-ST-104-003";"LT-B-MT-111";"LT-B-FD-104";NA;NA;NA;"Yes";2;"Chittagong";"Banshkhali";8803;"Sadanpur";"Sadanpur";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.9348413178648;22.0411437350872
"LT-B-ST-104-003";"LT-B-MT-111";"LT-B-FD-104";NA;NA;NA;"Yes";2;"Chittagong";"Banshkhali";8803;"South joldi";"Mohajan para";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.9348413178648;22.0411437350872
"LT-B-ST-104-004";"LT-B-MT-111";"LT-B-FD-104";NA;NA;NA;"Yes";2;"Chittagong";"Banshkhali";8803;"Sadanpur";"Sadanpur";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.9348413178648;22.0411437350872
"LT-B-ST-104-004";"LT-B-MT-111";"LT-B-FD-104";NA;NA;NA;"Yes";2;"Chittagong";"Banshkhali";8803;"South joldi";"Mohajan para";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.9348413178648;22.0411437350872
"LT-B-ST-104-005";"LT-B-MT-111";"LT-B-FD-104";NA;NA;NA;"Yes";2;"Chittagong";"Banshkhali";8803;"Sadanpur";"Sadanpur";"Chattogram";"Firingi bazar";104;NA;NA;"Chattogram";91.9348413178648;22.0411437350872
